City_ID,City,Country,Max Temp,WeatherDesc,Lat,Lng,HotelName
0,Kavieng,PG,85.12,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
1,Daoukro,CI,74.25,overcast clouds,7.0591,-3.9631,Komenan brou roseline
2,Ponta Do Sol,PT,66.06,overcast clouds,32.6667,-17.1,Hotel do Campo
4,Faanui,PF,81.7,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
5,Cidreira,BR,70.57,overcast clouds,-30.1811,-50.2056,Hotel Castelo
6,Puerto Ayora,EC,76.55,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Cape Town,ZA,65.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
9,Hilo,US,78.24,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
12,Busselton,AU,72.48,scattered clouds,-33.65,115.3333,Observatory Guest House
17,New Norfolk,AU,71.89,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
18,Punta Arenas,CL,50.11,broken clouds,-53.15,-70.9167,Hotel Hain
19,Torbay,CA,41.29,light rain,47.6666,-52.7314,Gallows Cove
20,Rikitea,PF,79.9,scattered clouds,-23.1203,-134.9692,People ThankYou
21,Namatanai,PG,85.51,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
22,Kudahuvadhoo,MV,82.09,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
23,Dzaoudzi,YT,80.49,clear sky,-12.7887,45.2699,Le Rocher
24,Komsomolskiy,UZ,50.72,mist,40.4272,71.7189,Ikathouse
25,Shakiso,ET,57.29,broken clouds,5.75,38.9167,Bealu Girma Hottel
27,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,Hermanus,ZA,65.12,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
31,Itarema,BR,76.46,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
32,Nhulunbuy,AU,88.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
33,Ushuaia,AR,49.66,scattered clouds,-54.8,-68.3,Albatross Hotel
34,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
35,Marsala,IT,50.9,overcast clouds,37.7966,12.4352,Villa Favorita Hotel e Resort
36,Fortuna,US,54.66,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
37,Hoa Binh,VN,71.58,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
39,Kahului,US,82.98,few clouds,20.8947,-156.47,Maui Seaside Hotel
40,Broken Hill,AU,78.51,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
41,Atuona,PF,78.91,overcast clouds,-9.8,-139.0333,Villa Enata
42,Imbituba,BR,68.83,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
43,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
44,Cabo San Lucas,MX,73.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
46,Butaritari,KI,81.52,clear sky,3.0707,172.7902,Isles Sunset Lodge
48,Port Lincoln,AU,79.54,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
50,Sainte-Ode,BE,43.77,overcast clouds,50.0262,5.5254,La Pommeraie Sainte-Ode
51,Kodiak,US,40.51,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
53,Chuy,UY,59.18,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
54,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
55,Ahipara,NZ,71.71,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
57,Mataura,NZ,64.47,clear sky,-46.1927,168.8643,Ellie's Villa
58,Saint George,US,66.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
62,Humberto De Campos,BR,73.98,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
64,Shunyi,CN,44.55,overcast clouds,40.125,116.6453,Beijing Mingchen Holiday Hotel
67,Gazanjyk,TM,44.71,overcast clouds,39.2446,55.5154,Railway motel
70,Jimenez,MX,57.88,clear sky,28.3333,-105.4,El torreon
72,Hobart,AU,72.27,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
73,Norsup,VU,83.77,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
74,Saldanha,ZA,60.85,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
75,Klaksvik,FO,41.92,overcast clouds,62.2266,-6.589,Airbnb rooms
78,Raudeberg,NO,47.07,broken clouds,61.9875,5.1352,Nordre Silda.
79,Namibe,AO,72.21,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
81,Yulara,AU,84.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
82,Malindi,KE,75.83,overcast clouds,-3.2175,40.1191,African House Resort
83,Vila Franca Do Campo,PT,56.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
84,Junnar,IN,70.92,clear sky,19.2,73.8833,Hotel Anand
85,Yarada,IN,70.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
